[2023-01-27 15:55:42,015] Register - Step 01: Navigate to 'Register' page
[2023-01-27 15:55:43,162] Register - Step 02: Choose 'Female' radio button
[2023-01-27 15:55:43,423] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 15:55:43,510] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 15:55:43,596] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 15:55:44,471] Register - Step 06:  Input to 'Email' textbox with value is: 'abc39747@mail.com'
[2023-01-27 15:55:44,551] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 15:55:44,591] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 15:55:44,674] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 15:55:44,752] Register - Step 10: Click to 'Register' button
[2023-01-27 15:55:45,416] Register - Step 11: Verify register success message is displayed
[2023-01-27 15:55:45,497] Login - Step 01: Navigate to 'Login' page
[2023-01-27 15:55:46,246] Login - Step 02:  Input to 'Email' textbox with value is: 'abc39747@mail.com'
[2023-01-27 15:55:46,328] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 15:55:46,405] Login - Step 04: Click to 'Login' button
[2023-01-27 15:55:47,029] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 15:55:47,099] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 15:55:47,469] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 15:55:47,540] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 15:55:47,890] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 15:55:47,952] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 15:55:48,013] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 15:55:48,075] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 15:55:48,140] OS name = Windows 11
[2023-01-27 15:55:48,140] Driver instance name = firefoxdriver: firefox on windows (ee8b1a73-8b86-4175-ac6f-15dba0315b94)
[2023-01-27 15:55:51,076] Register - Step 01: Navigate to 'Register' page
[2023-01-27 15:55:52,105] Register - Step 02: Choose 'Female' radio button
[2023-01-27 15:55:52,171] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 15:55:52,291] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 15:55:52,411] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 15:55:52,687] Register - Step 06:  Input to 'Email' textbox with value is: 'abc28999@mail.com'
[2023-01-27 15:55:52,805] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 15:55:52,850] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 15:55:52,966] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 15:55:53,088] Register - Step 10: Click to 'Register' button
[2023-01-27 15:55:53,754] Register - Step 11: Verify register success message is displayed
[2023-01-27 15:55:53,816] Login - Step 01: Navigate to 'Login' page
[2023-01-27 15:55:54,549] Login - Step 02:  Input to 'Email' textbox with value is: 'abc28999@mail.com'
[2023-01-27 15:55:54,672] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 15:55:54,791] Login - Step 04: Click to 'Login' button
[2023-01-27 15:55:55,413] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 15:55:55,480] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 15:55:55,842] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 15:55:55,902] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 15:55:56,252] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 15:55:56,318] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 15:55:56,377] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 15:55:56,442] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 15:55:56,503] OS name = Windows 11
[2023-01-27 15:55:56,504] Driver instance name = chromedriver: chrome on windows (30811fec6e6179a36341575251959394)
[2023-01-27 16:00:13,333] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:00:14,447] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:00:14,714] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:00:14,798] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:00:14,873] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:00:15,755] Register - Step 06:  Input to 'Email' textbox with value is: 'abc50732@mail.com'
[2023-01-27 16:00:15,836] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:00:15,875] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
